range,x_south,x_north
54,209.32,212.32
53,205.34,208.34
52,201.36,204.36
51,197.23,200.23
50,193.26,196.26
49,189.38,192.38
48,185.38,188.38
47,181.53,184.53
46,177.55,180.55
45,173.41,176.41
44,169.45,172.45
43,165.45,168.45
42,161.39,164.39
41,157.34,160.34
40,153.39,156.39
39,149.43,152.43
38,145.56,148.56
37,141.64,144.64
36,137.6,140.6
35,133.76,136.76
34,129.73,132.73
33,125.81,128.81
32,121.86,124.86
31,117.7,120.7
30,113.7,116.7
29,109.74,112.74
28,105.94,108.94
27,101.72,104.72
26,97.64,100.64
25,93.86,96.86
24,89.68,92.68
23,85.86,88.86
22,81.62,84.62
21,77.85,80.85
20,73.89,76.89
19,70.03,73.03
18,66.03,69.03
17,61.86,64.86
16,57.98,60.98
15,54.16,57.16
14,50.21,53.21
13,46.24,49.24
12,42.12,45.12
11,38.14,41.14
10,33.97,36.97
9,30.16,33.16
8,26.26,29.26
7,22.21,25.21
6,18.12,21.12
5,14.22,17.22
4,10.26,13.26
3,6.3,9.3
2,2.3,5.3
1,-1.7,1.3
